,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4
497,3456,0,0,3850,875,99,6,421
498,3456,0,0,3846,876,100,17,422
499,3453,0,0,3849,878,97,21,413
500,3453,0,0,3850,879,95,22,411
501,3453,0,0,3851,879,95,20,414
502,3451,0,0,3840,879,94,19,407
503,3456,0,0,3846,876,96,6,411
504,3457,0,0,3846,877,94,19,413
505,3457,0,0,3852,878,94,24,416
506,3458,0,0,3847,879,94,19,414
507,3458,0,0,3844,878,93,15,416
508,3457,0,0,3841,878,93,16,414
509,3459,0,0,3841,877,92,19,410
510,3462,0,0,3847,878,91,13,409
511,3459,0,0,3845,878,91,32,407
512,3365,0,0,3607,829,118,0,509
513,3367,0,0,3603,829,122,0,511
514,3365,0,0,3603,830,119,0,510
515,3363,0,0,3603,830,124,0,510
516,3364,0,0,3602,830,126,0,509
517,3369,0,0,3602,830,124,0,508
518,3365,0,0,3600,830,123,0,508
519,3371,0,0,3607,831,125,0,504
520,3382,0,0,3567,832,124,0,508
521,3393,0,0,3429,834,122,0,520
522,3409,0,0,3379,844,127,0,530
523,3440,0,0,3366,847,124,0,537
524,3468,0,0,3341,846,118,0,542
525,3455,0,0,3318,848,126,0,542
526,3475,0,0,3317,856,129,0,541
527,3479,0,0,3313,861,127,0,543
528,3469,0,0,3292,861,126,0,543
529,3465,0,0,3267,860,129,0,545
530,3460,0,0,3251,860,122,0,544
531,3454,0,0,3363,860,124,0,537
532,3449,0,0,3491,861,124,0,522
533,3431,0,0,3536,850,123,0,515
534,3433,0,0,3522,854,125,0,525
535,3435,0,0,3536,855,119,0,523
536,3433,0,0,3568,858,122,0,520
537,3434,0,0,3562,858,120,0,524
538,3436,0,0,3564,858,117,0,524
539,3433,0,0,3568,859,115,0,524
540,3449,0,0,3549,866,121,0,527
541,3449,0,0,3511,871,122,0,525
542,3449,0,0,3537,876,116,0,516
543,3439,0,0,3554,877,114,0,525
544,3440,0,0,3552,875,118,0,524
545,3438,0,0,3553,875,115,0,525
546,3428,0,0,3550,874,114,0,525
547,3411,0,0,3536,873,118,0,526
548,3424,0,0,3548,873,115,0,526
549,3408,0,0,3537,872,118,0,526
550,3418,0,0,3551,873,115,0,527
551,3422,0,0,3550,873,118,0,526
552,3411,0,0,3533,871,119,0,525
553,3424,0,0,3543,872,120,0,527
554,3411,0,0,3532,869,121,0,525
555,3423,0,0,3539,869,122,0,525
556,3424,0,0,3536,869,122,0,525
557,3426,0,0,3536,869,123,0,524
558,3424,0,0,3533,869,124,0,524
559,3427,0,0,3536,869,123,0,525
560,3423,0,0,3535,870,123,0,526
561,3425,0,0,3533,870,123,0,527
562,3424,0,0,3535,870,123,0,528
563,3427,0,0,3536,870,123,0,528
564,3427,0,0,3531,870,123,0,528
565,3426,0,0,3534,871,122,0,528
566,3429,0,0,3536,870,124,0,528
567,3425,0,0,3533,871,125,0,528
568,3425,0,0,3535,870,124,0,528
569,3430,0,0,3535,870,124,0,528
570,3434,0,0,3536,869,125,0,528
571,3414,0,0,3523,867,116,0,527
572,3425,0,0,3536,870,117,0,527
573,3428,0,0,3537,870,117,0,528
574,3430,0,0,3536,871,118,0,528
575,3429,0,0,3538,871,118,0,528
576,3376,0,0,3095,789,88,473,489
577,3455,0,0,2770,833,86,334,511
578,3454,0,0,2621,833,88,434,512
579,3431,0,0,2443,829,87,499,504
580,3399,0,0,2297,798,93,519,509
581,3341,0,0,2160,761,95,559,512
582,3326,0,0,2212,783,98,545,520
583,3378,0,0,2624,812,104,515,502
584,3383,0,0,2860,806,102,486,488
585,3391,0,0,2969,802,98,511,498
586,3383,0,0,2967,790,95,529,502
587,3357,0,0,2871,784,97,547,503
588,3362,0,0,2893,796,106,547,503
589,3375,0,0,2976,793,109,554,501
590,3364,0,0,2991,785,109,564,505
591,3367,0,0,2994,795,109,564,507
592,3373,0,0,3029,791,111,566,505
593,3345,0,0,3026,757,114,570,506
594,3355,0,0,3127,775,114,565,488
595,3345,0,0,3189,797,118,499,449
596,3365,0,0,3243,802,111,487,452
597,3381,0,0,3225,792,109,505,468
598,3376,0,0,3180,773,109,534,483
599,3375,0,0,3163,776,109,536,486
600,3378,0,0,3186,795,109,517,481
601,3379,0,0,3195,796,110,527,480
602,3376,0,0,3189,789,114,535,483
603,3377,0,0,3181,792,114,536,487
604,3376,0,0,3173,794,113,540,487
605,3370,0,0,3161,792,116,545,489
606,3377,0,0,3163,794,116,538,494
607,3323,0,0,3134,797,117,525,501
608,3382,0,0,3126,797,114,529,505
609,3373,0,0,3113,795,112,536,503
610,3379,0,0,3152,791,123,551,499
611,3378,0,0,3181,792,120,553,494
612,3380,0,0,3186,798,121,551,500
613,3380,0,0,3183,796,126,551,500
614,3382,0,0,3172,793,124,553,501
615,3375,0,0,3162,795,121,550,501
616,3381,0,0,3174,797,121,551,502
617,3383,0,0,3166,795,122,553,502
618,3384,0,0,3162,796,116,551,502
619,3388,0,0,3152,797,117,552,503
620,3386,0,0,3149,796,119,552,503
621,3386,0,0,3147,796,120,553,504
622,3381,0,0,3136,797,120,552,504
623,3381,0,0,3133,796,115,551,506
624,3380,0,0,3132,796,118,550,506
625,3378,0,0,3136,796,117,551,507
626,3377,0,0,3139,796,119,551,508
627,3378,0,0,3143,796,120,551,508
628,3365,0,0,3130,795,117,554,509
629,3366,0,0,3127,795,117,553,508
630,3376,0,0,3150,797,122,556,509
631,3377,0,0,3143,796,122,555,508
632,3375,0,0,3136,796,119,553,507
633,3376,0,0,3136,797,110,554,507
634,3365,0,0,3123,795,110,548,506
635,3376,0,0,3127,797,110,548,507
636,3376,0,0,3134,797,119,549,507
637,3376,0,0,3131,797,116,550,509
638,3375,0,0,3132,797,119,552,508
639,3376,0,0,3131,796,119,551,507
